ID,Parameter_ID,Name,Description,Ordinal
F-yes,F,Yes,,
F-no,F,No,,
S-set01,S,set01,,
S-set02,S,set02,,
S-set03,S,set03,,
S-set04,S,set04,,
S-set05,S,set05,,
S-set06a,S,set06a,,
S-set07,S,set07,,
S-set08,S,set08,,
S-set09,S,set09,,
S-set10,S,set10,,
S-set11,S,set11,,
S-set12,S,set12,,
S-set13,S,set13,,
S-set14,S,set14,,
S-set15,S,set15,,
S-set16,S,set16,,
S-set17,S,set17,,
S-set18,S,set18,,
S-set19,S,set19,,
S-set20,S,set20,,
S-set21,S,set21,,
S-set22,S,set22,,
S-set23,S,set23,,
S-set24,S,set24,,
S-set25,S,set25,,
S-set26,S,set26,,
S-set27,S,set27,,
S-set28,S,set28,,
S-set29,S,set29,,
S-set30,S,set30,,
S-set31,S,set31,,
S-set32,S,set32,,
S-set33,S,set33,,
S-set34,S,set34,,
DEM00-yes,DEM00,Yes,,
DEM00-no,DEM00,No,,
DEM00-B,DEM00,B,"“blank”. The question is relevant to the domain in question, but the respondent chose not to answer the question.",
DEM02_DEME02-1-yes,DEM02_DEME02-1,Yes,,
DEM02_DEME02-1-no,DEM02_DEME02-1,No,,
DEM02_DEME02-1-B,DEM02_DEME02-1,B,"“blank”. The question is relevant to the domain in question, but the respondent chose not to answer the question.",
DEM02_DEME02-2-yes,DEM02_DEME02-2,Yes,,
DEM02_DEME02-2-no,DEM02_DEME02-2,No,,
DEM02_DEME02-2-B,DEM02_DEME02-2,B,"“blank”. The question is relevant to the domain in question, but the respondent chose not to answer the question.",
DEM02_DEME02-3-yes,DEM02_DEME02-3,Yes,,
DEM02_DEME02-3-no,DEM02_DEME02-3,No,,
DEM02_DEME02-3-B,DEM02_DEME02-3,B,"“blank”. The question is relevant to the domain in question, but the respondent chose not to answer the question.",
DEM03_DEME03-1-yes,DEM03_DEME03-1,Yes,,
DEM03_DEME03-1-no,DEM03_DEME03-1,No,,
DEM03_DEME03-1-B,DEM03_DEME03-1,B,"“blank”. The question is relevant to the domain in question, but the respondent chose not to answer the question.",
DEM03_DEME03-2-yes,DEM03_DEME03-2,Yes,,
DEM03_DEME03-2-no,DEM03_DEME03-2,No,,
DEM03_DEME03-2-B,DEM03_DEME03-2,B,"“blank”. The question is relevant to the domain in question, but the respondent chose not to answer the question.",
DEM03_DEME03-3-yes,DEM03_DEME03-3,Yes,,
DEM03_DEME03-3-no,DEM03_DEME03-3,No,,
DEM03_DEME03-3-B,DEM03_DEME03-3,B,"“blank”. The question is relevant to the domain in question, but the respondent chose not to answer the question.",
DEM03_DEME03-4-yes,DEM03_DEME03-4,Yes,,
DEM03_DEME03-4-no,DEM03_DEME03-4,No,,
DEM03_DEME03-4-B,DEM03_DEME03-4,B,"“blank”. The question is relevant to the domain in question, but the respondent chose not to answer the question.",
DEM03_DEME03-5-yes,DEM03_DEME03-5,Yes,,
