ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code
set01-F,Baïnounk Gubëeher,Africa,12.56,-17.19,gube1234,
set01-N,Mandinka,Africa,12.8165233333,-15.6539466667,mand1436,
set02-F,Bade,Africa,12.789,10.6557,bade1248,
set02-N,Manga Kanuri,Africa,13.557,10.701,mang1399,
set04-F,Kambaata,Africa,7.37582,37.9088,kamb1316,
set04-N,Wolaytta,Africa,6.32668,37.7537,wola1242,
set05-F,Korandje,Africa,16.685,2.32653,tada1238,
set05-N,North African Arabic,Africa,14.973333,5.699722,tets1235,
set07-F,Ndebele,Africa,-20.2513,27.4096,nort2795,
set07-N,Tjwao,Africa,,,tjwa1234,
set08-F,Rangi,Africa,-4.71413,35.9517,lang1320,
set08-N,Alagwa,Africa,-4.64148,35.7231,alag1248,
set09-F,Mawng,Australia,-11.66,133.376,maun1240,
set09-N,Kunbarlang,Australia,-11.9133,133.723,kunb1251,
set10-F,Burarra,Australia,-12.3061,134.365,bura1267,
set10-N,Yolngu Matha,,,,yuul1239,
set13b-F,South Saami,Eurasia,62.8801,13.7006,sout2674,
set13b-N,Norwegian/Swedish,Eurasia,59.92,10.71,norw1258,
set14-F,Maltese,Eurasia,35.8884,14.4508,malt1254,
set14-N,Sicilian,Eurasia,37.5735,14.0414,sici1248,
set15a-F,Yurok,North America,41.3262,-123.824,yuro1248,
set15a-N,Karuk,North America,41.8228,-123.315,karo1304,
set19a-F,Garifuna,North America,15.3529,-86.9091,gari1256,
set19a-N,Galibi,South America,5.83772,-56.8323,gali1262,
set20a-F,Toluca (Temoaya) Otomi,North America,19.6001,-99.6541,temo1245,
set20a-N,Mexican Spanish,Eurasia,,,mexi1248,
set21-F,Papapana,Papunesia,-5.92283,155.289,papa1265,
set21-N,Rotokas,Papunesia,-5.94339,155.154,roto1249,
set22-F,Alorese,Papunesia,-8.20382,124.264,alor1247,
set22-N,Adang,Papunesia,-8.18958,124.448,adan1251,
set23-F,Chipaya,South America,-18.73951,-67.89633,chip1262,
set23-N,Central (aka Bolivian) Aymara,South America,-17.0,-68.5,cent2142,
set26a-F,Zaza,Eurasia,,,zaza1246,
set26a-N,Turkish,Eurasia,39.8667,32.8667,nucl1301,
set27-F,Santali,South America,-14.1666,-69.5,atsa1242,
set27-N,Bengali,Eurasia,,,mexi1248,
set28-F,Kupwar Marathi,Eurasia,17.9344,76.6665,mara1378,
set28-N,Kupwar Kannada,Eurasia,13.5878,76.1198,nucl1305,
set30d-F,Sibe,Eurasia,43.5854,81.0034,xibe1242,
set30d-N,Uighur,Eurasia,43.88,87.38,uigh1240,
set33-F,Muak Sa-aak,Eurasia,21.4293,100.985,tail1246,
set33-N,Tai Lue,Eurasia,21.0321,101.282,luuu1242,
set34-F,Burmese,Eurasia,20.7926,93.9665,nucl1310,
set34-N,Mon,Eurasia,15.49394,98.122465,monn1252,
set35c-F,Aleut,North America,52.1228,-174.29,aleu1260,
set35c-N,Eyak,North America,60.4232,-144.762,eyak1241,
set36-F,Nuxalk,North America,52.3448,-126.689,bell1243,
set36-N,North Wakashan,North America,50.9269,-127.308,kwak1269,
set40a-F,Ipili,Papunesia,-5.42586,143.089,ipil1240,
set40a-N,Hewa,Papunesia,-5.03635,142.551,hewa1241,
set41c-F,Kwoma,Papunesia,-4.08721,142.664,kwom1262,
set41c-N,Manambu,Papunesia,-4.19082,142.862,mana1298,
set42a-F,Paluai,Papunesia,-2.5604,147.282,balu1257,
set42a-N,Tok Pisin,Papunesia,-9.41971,147.303,tokp1240,
set43-F,Marind,Papunesia,-8.15651,140.009,nucl1622,
set43-N,Marori,Papunesia,-8.5692,140.688,moro1289,
set45a-F,Nen,Papunesia,-8.62183,142.032,nenn1238,
set45a-N,Idi,Papunesia,-8.75976,142.301,idii1243,
set48-F,Yuhup,South America,0.2485,-69.8079,yuhu1238,
set48-N,Macuna,South America,-0.14459,-70.0749,macu1260,
set49a-F,Western Toba,South America,-23.77,-61.96,toba1269,
set49a-N,Wichí,,,,wich1261,
set51-F,Toba,South America,-23.77,-61.96,toba1269,
set51-N,Spanish,Eurasia,40.4414,-1.11788,stan1288,
