Version,Set,Old_Set_ID,CID,QID,Sub-ID,Wording,Response,Comment,Respondent,Dom,DomOrder,DataType,Answer1,Answer2,Answer3,Answer4,Answer5,Answer6,Answer7,Answer8,Surname,[q2o1answer],FLang,F_ISO,F_Glottocode,[q2o2answer],NLang,N_ISO,N_Glottocode,ContactPair,ContactPair_ISO,ContctPair_Glottocode,AArea,Reviewer
1.0.0,set15,set43,OT1,OT1,,1. How long have [q2o1answer] and [q2o2answer] people been in contact overall?,Probably hundreds of years.,,Bruno Olsson,OV,6,Comment,NA,NA,NA,NA,NA,NA,NA,NA,Olsson,Marind,Marind,mrz,nucl1622,Marori,Marori,mok,moro1289,Marind - Marori,mrz-mok,nucl1622-moro1289,Southern New Guinea,"EK, OR"
1.0.0,set15,set43,OT1N,OT1N,,"Coarse time range, numerical",1000-2020,NA,Bruno Olsson,OV,6,Value,NA,NA,NA,NA,NA,NA,NA,NA,Olsson,Marind,Marind,mrz,nucl1622,Marori,Marori,mok,moro1289,Marind - Marori,mrz-mok,nucl1622-moro1289,Southern New Guinea,"EK, OR"
1.0.0,set15,set43,OT2,OT2,,2. What is the overall time frame when the largest number of people had the most opportunities for interaction?,Not sure about pre-colonial times. Recently interaction is easy thanks to roads and technology,,Bruno Olsson,OV,6,Comment,NA,NA,NA,NA,NA,NA,NA,NA,Olsson,Marind,Marind,mrz,nucl1622,Marori,Marori,mok,moro1289,Marind - Marori,mrz-mok,nucl1622-moro1289,Southern New Guinea,"EK, OR"
1.0.0,set15,set43,OT2N,OT2N,,"Coarse time range, numerical",1990-2020,NA,Bruno Olsson,OV,6,Value,NA,NA,NA,NA,NA,NA,NA,NA,Olsson,Marind,Marind,mrz,nucl1622,Marori,Marori,mok,moro1289,Marind - Marori,mrz-mok,nucl1622-moro1289,Southern New Guinea,"EK, OR"
1.0.0,set15,set43,OD1,OD1,,1. What is the total number of native-like speakers of [q2o1answer]?,"1,000-9,999 speakers","Around 8,000 speakers of Coastal Marind. The other closely related Marindic languages proba-bly add another 4,000 to the total",Bruno Olsson,OV,6,Types,10-99 speakers,100-999 speakers,"1,000-9,999 speakers","10,000-99,999 speakers","100,000-999,999 speakers","1,000,000-9,999,999 speakers","10,000,000-99,999,999 speakers","100,000,000-999,999,999 speakers",Olsson,Marind,Marind,mrz,nucl1622,Marori,Marori,mok,moro1289,Marind - Marori,mrz-mok,nucl1622-moro1289,Southern New Guinea,"EK, OR"
1.0.0,set15,set43,OD3,OD3,,2. What is the total number of native-like speakers of [q2o2answer]?,100-999 speakers,,Bruno Olsson,OV,6,Types,10-99 speakers,100-999 speakers,"1,000-9,999 speakers","10,000-99,999 speakers","100,000-999,999 speakers","1,000,000-9,999,999 speakers","10,000,000-99,999,999 speakers","100,000,000-999,999,999 speakers",Olsson,Marind,Marind,mrz,nucl1622,Marori,Marori,mok,moro1289,Marind - Marori,mrz-mok,nucl1622-moro1289,Southern New Guinea,"EK, OR"
1.0.0,set15,set43,OD4,OD4,,3. What is the approximate proportion of native-like speakers in the total population of all speakers of [q2o1answer]?,High proportion,,Bruno Olsson,OV,6,Scalar,High proportion,Fairly high proportion,Intermediate proportion,Fairly low proportion,Low proportion,NA,NA,NA,Olsson,Marind,Marind,mrz,nucl1622,Marori,Marori,mok,moro1289,Marind - Marori,mrz-mok,nucl1622-moro1289,Southern New Guinea,"EK, OR"
1.0.0,set15,set43,OD5,OD5,,4. What is the approximate proportion of native-like speakers in the total population of all speakers of [q2o2answer]?,High proportion,,Bruno Olsson,OV,6,Scalar,High proportion,Fairly high proportion,Intermediate proportion,Fairly low proportion,Low proportion,NA,NA,NA,Olsson,Marind,Marind,mrz,nucl1622,Marori,Marori,mok,moro1289,Marind - Marori,mrz-mok,nucl1622-moro1289,Southern New Guinea,"EK, OR"
1.0.0,set15,set43,OG1,OG1,,5. What is the population density within the area where [q2o1answer] is spoken?,100–399 persons per 10 sq. km,"The literature mentions a ""low density"" of 10-40 ppl per km2, so it's a bit confusing that this is your maximum alternative",Bruno Olsson,OV,6,Types,Less than 2 persons per 10 sq. km,2–4 persons per 10 sq. km,5–19 persons per 10 sq. km,20–99 persons per 10 sq. km,100–399 persons per 10 sq. km,NA,NA,NA,Olsson,Marind,Marind,mrz,nucl1622,Marori,Marori,mok,moro1289,Marind - Marori,mrz-mok,nucl1622-moro1289,Southern New Guinea,"EK, OR"
1.0.0,set15,set43,OS7,OS7,,6. What is the mean size of the [q2o1answer] speaking communities at the local level?,From 200 to 399 persons,,Bruno Olsson,OV,6,Types,Fewer than 50 persons,From 50 to 99 persons,From 100 to 199 persons,From 200 to 399 persons,"From 400 to 1,000 persons","More than 1,000 persons in the absence of indigenous urban aggregations","One or more indigenous towns of more than 5,000 inhabitants but none of more than 50,000",NA,Olsson,Marind,Marind,mrz,nucl1622,Marori,Marori,mok,moro1289,Marind - Marori,mrz-mok,nucl1622-moro1289,Southern New Guinea,"EK, OR"
1.0.0,set15,set43,OS9,OS9,,7. How frequently do [q2o1answer] people generally interact with out-group people? ,Very Frequently,,Bruno Olsson,OV,6,Scalar,Very Frequently,Frequently,Neither frequently nor infrequently,Infrequently,Very infrequently,NA,NA,NA,Olsson,Marind,Marind,mrz,nucl1622,Marori,Marori,mok,moro1289,Marind - Marori,mrz-mok,nucl1622-moro1289,Southern New Guinea,"EK, OR"
1.0.0,set15,set43,OI1,OI1,OI1-1,"8. Is [q2o1answer] stated as an expression of identity of any of the following? Group centered around shared descent, such as clan, house, lineage group, kinship group",Yes,,Bruno Olsson,OV,6,Binary-YesNo,Yes,No,NA,NA,NA,NA,NA,NA,Olsson,Marind,Marind,mrz,nucl1622,Marori,Marori,mok,moro1289,Marind - Marori,mrz-mok,nucl1622-moro1289,Southern New Guinea,"EK, OR"
1.0.0,set15,set43,OI1,OI1,OI1-2,"8. Is [q2o1answer] stated as an expression of identity of any of the following? Race, ethnicity, or some other similar grouping",Yes,,Bruno Olsson,OV,6,Binary-YesNo,Yes,No,NA,NA,NA,NA,NA,NA,Olsson,Marind,Marind,mrz,nucl1622,Marori,Marori,mok,moro1289,Marind - Marori,mrz-mok,nucl1622-moro1289,Southern New Guinea,"EK, OR"
1.0.0,set15,set43,OI1,OI1,OI1-3,"8. Is [q2o1answer] stated as an expression of identity of any of the following? Micro-level (politico-)territorial group, including regional or areal groups, clans, bands, tribes",Yes,,Bruno Olsson,OV,6,Binary-YesNo,Yes,No,NA,NA,NA,NA,NA,NA,Olsson,Marind,Marind,mrz,nucl1622,Marori,Marori,mok,moro1289,Marind - Marori,mrz-mok,nucl1622-moro1289,Southern New Guinea,"EK, OR"
1.0.0,set15,set43,OI1,OI1,OI1-4,"8. Is [q2o1answer] stated as an expression of identity of any of the following? Macro-level (politico-)territorial group, such as nation, tribe, state",No,,Bruno Olsson,OV,6,Binary-YesNo,Yes,No,NA,NA,NA,NA,NA,NA,Olsson,Marind,Marind,mrz,nucl1622,Marori,Marori,mok,moro1289,Marind - Marori,mrz-mok,nucl1622-moro1289,Southern New Guinea,"EK, OR"
1.0.0,set15,set43,OI1,OI1,OI1-5,"8. Is [q2o1answer] stated as an expression of identity of any of the following? Formal or informal relationships between non-kin, such as alliances, sodality membership, ad-hoc relationships between families or individuals",No,,Bruno Olsson,OV,6,Binary-YesNo,Yes,No,NA,NA,NA,NA,NA,NA,Olsson,Marind,Marind,mrz,nucl1622,Marori,Marori,mok,moro1289,Marind - Marori,mrz-mok,nucl1622-moro1289,Southern New Guinea,"EK, OR"
1.0.0,set15,set43,OI3,OI3,,9. Is there a codified standard variety for [q2o1answer]?,No,,Bruno Olsson,OV,6,Binary-YesNo,Yes,No,NA,NA,NA,NA,NA,NA,Olsson,Marind,Marind,mrz,nucl1622,Marori,Marori,mok,moro1289,Marind - Marori,mrz-mok,nucl1622-moro1289,Southern New Guinea,"EK, OR"
